Month,Mortgage,Balance,Interest,Paid Amount
112,6.885848266904386,114.42897080916883,5.316585696560978,1.5692625703434082
113,6.885848266904386,112.78778370435136,5.2446611620869055,1.6411871048174804
114,6.885848266904386,111.0713755238964,5.169440086449437,1.7164081804549491
115,6.885848266904386,109.2762986351706,5.0907713781785855,1.7950768887258004
116,6.885848266904386,107.39894738904488,5.008497020778653,1.8773512461257331
117,6.885848266904386,105.43555087747171,4.922451755331224,1.963396511573162
118,6.885848266904386,103.38216535911812,4.832462748550786,2.0533855183535996
119,6.885848266904386,101.23466633783998,4.738349245626247,2.147499021278139
120,6.885848266904386,98.9887402780866,4.639922207151,2.245926059753386
121,6.885848266904386,96.63987594059451,4.536983929412302,2.348864337492084
122,6.885848266904386,94.18335532096737,4.4293276472772485,2.4565206196271374
123,6.885848266904386,91.61424417294064,4.316737118877671,2.569111148026715
124,6.885848266904386,88.92738209729603,4.19898619125978,2.6868620756446058
125,6.885848266904386,86.11737217651772,4.075838346126068,2.8100099207783176
126,6.885848266904386,83.17857013437039,3.9470462247570626,2.9388020421473233
127,6.885848266904386,80.10507299862465,3.8123511311586427,3.0734971357457432
128,6.885848266904386,76.89070724415723,3.671482512436963,3.2143657544674227
129,6.885848266904386,73.52901639261005,3.5241574153572057,3.36169085154718
130,6.885848266904386,70.01324804370029,3.370079917994627,3.515768348909759
131,6.885848266904386,66.33634031213217,3.208940535336263,3.676907731568123
132,6.885848266904386,62.49090764286717,3.040415597639391,3.8454326692649947
133,6.885848266904386,58.469225976260866,2.864166600298079,4.021681666606307
134,6.885848266904386,54.263217233268435,2.6798395239119563,4.206008742992429
135,6.885848266904386,49.86443308955552,2.48706412319147,4.398784143712916
136,6.885848266904386,45.26403800592243,2.285453183271295,4.6003950836330905
137,6.885848266904386,40.45279148095616,2.0746017419381113,4.811246524966275
138,6.885848266904386,35.42102949026226,1.8540862762104906,5.031761990693895
139,6.885848266904386,30.158645074994897,1.6234638516370203,5.262384415267365
140,6.885848266904386,24.655068040694445,1.3822712326039328,5.503577034300453
141,6.885848266904386,18.89924372565522,1.130023951865162,5.755824315039224
142,6.885848266904386,12.8796107961767,0.8662153374258642,6.019632929478521
143,6.885848266904386,6.584078024097079,0.5903154948247654,6.29553277207962
144,6.885848266904386,0.0,0.30177024277111614,6.5840780241332695
